company_number,company_name,company_status,company_category,address_line_1,post_town,county,postcode,sic_code_1,sample_stratum,source_file
00567148,VAN REES LIMITED,Active,Private Limited Company,3RD FLOOR,ALTRINCHAM,CHESHIRE,WA14 2DT,"46370 - Wholesale of coffee, tea, cocoa and spices",trade,BasicCompanyDataAsOneFile-2026-08-01.csv
02978755,CRS SPECIALISED BUILDING SERVICES LTD,Active,Private Limited Company,45A STOKE ROAD,HANTS,,PO12 1LS,43210 - Electrical installation,construction,BasicCompanyDataAsOneFile-2026-08-01.csv
02991683,A J S METALS LIMITED,Active,Private Limited Company,UNIT 46,WILLENHALL,WEST MIDLANDS,WV13 2PX,24420 - Aluminium production,manufacturing,BasicCompanyDataAsOneFile-2026-08-01.csv
04019277,KEOPS LIMITED,Active,Private Limited Company,FIVE OAKS FARM BADGERS HILL,EVESHAM,WORCESTERSHIRE,WR11 4SN,43390 - Other building completion and finishing,construction,BasicCompanyDataAsOneFile-2026-08-01.csv
04628486,G N EMERSON LTD,Active,Private Limited Company,WINDY HAUGH,BRAMPTON,CUMBRIA,CA8 1EZ,69201 - Accounting and auditing activities,business_services,BasicCompanyDataAsOneFile-2026-08-01.csv
05104409,MARKETPLACE AMP LTD,Active,Private Limited Company,"53 PURE OFFICES,",SWINDON,,SN2 8BW,70210 - Public relations and communications activities,business_services,BasicCompanyDataAsOneFile-2026-08-01.csv
05212659,CHEDDAR SPRING WATER LIMITED,Active,Private Limited Company,"CARSCLIFFE, UPPER DRAYCOTT ROAD",SOMERSET,,BS27 3YL,11070 - Manufacture of soft drinks; production of mineral waters and other bottled waters,manufacturing,BasicCompanyDataAsOneFile-2026-08-01.csv
06072802,LAWSON SHOPFITTERS LIMITED,Active,Private Limited Company,19 COPTHORNE CLOSE,HEYWOOD,LANCASHIRE,OL10 2PA,43390 - Other building completion and finishing,construction,BasicCompanyDataAsOneFile-2026-08-01.csv
06079702,WARBURG ASSOCIATES LIMITED,Active,Private Limited Company,14 ST. PAULS MEWS,DORKING,,RH4 2HP,70229 - Management consultancy activities other than financial management,business_services,BasicCompanyDataAsOneFile-2026-08-01.csv
06222261,FUNSPEX LIMITED,Active,Private Limited Company,WESTHILL HOUSE 2B DEVONSHIRE ROAD,BEXLEYHEATH,,DA6 8DS,62020 - Information technology consultancy activities,business_services,BasicCompanyDataAsOneFile-2026-08-01.csv
07648585,J CARR VEHICLE COSMETICS LTD,Active,Private Limited Company,20 WORTHINGTON STREET,MANCHESTER,,M40 0BB,33170 - Repair and maintenance of other transport equipment n.e.c.,manufacturing,BasicCompanyDataAsOneFile-2026-08-01.csv
07887751,RANNOCH ADVENTURE LIMITED,Active,Private Limited Company,2 HIGH STREET,BURNHAM ON CROUCH,ESSEX,CM0 8AA,30120 - Building of pleasure and sporting boats,manufacturing,BasicCompanyDataAsOneFile-2026-08-01.csv
07903151,RUBY CERAMICS LIMITED,Active,Private Limited Company,C/O KNIGHT BROWN ACCOUNTANTS,SANDBACH,CHESHIRE,CW11 4NE,43330 - Floor and wall covering,construction,BasicCompanyDataAsOneFile-2026-08-01.csv
08856080,ROMAN CONSERVATION LTD,Active,Private Limited Company,THE GRANARY MALT KILN FARM,KINGS LYNN,NORFOLK,PE32 1JF,32990 - Other manufacturing n.e.c.,manufacturing,BasicCompanyDataAsOneFile-2026-08-01.csv
08896326,NAGLE AND SISTERS LIMITED,Active,Private Limited Company,50 PENTIRE ROAD,LONDON,,E17 4BZ,14190 - Manufacture of other wearing apparel and accessories n.e.c.,manufacturing,BasicCompanyDataAsOneFile-2026-08-01.csv
09319447,SCOTT MYLES INTERIOR UK LIMITED,Active,Private Limited Company,4 CAPRICORN CENTRE,BASILDON,ESSEX,SS14 3JJ,41100 - Development of building projects,construction,BasicCompanyDataAsOneFile-2026-08-01.csv
09979245,CANFORD & CO FRAMES LIMITED,Active,Private Limited Company,HOUSEBOAT PUDDLEDUCK,LONDON,,SW10 0DG,18140 - Binding and related services,manufacturing,BasicCompanyDataAsOneFile-2026-08-01.csv
10050445,CASTLE ELECTRICAL LTD,Active,Private Limited Company,4 IMPERIAL SQUARE,CHELTENHAM,,GL50 1QB,43210 - Electrical installation,construction,BasicCompanyDataAsOneFile-2026-08-01.csv
10286277,JANDU SOLUTIONS LIMITED,Active,Private Limited Company,143 WARWICK NEW ROAD,LEAMINGTON SPA,,CV32 6AB,62020 - Information technology consultancy activities,business_services,BasicCompanyDataAsOneFile-2026-08-01.csv
10477330,OZILLA LTD,Active,Private Limited Company,52 CHURCH ROAD,SHANKLIN,,PO37 6QY,32990 - Other manufacturing n.e.c.,manufacturing,BasicCompanyDataAsOneFile-2026-08-01.csv
10677513,JWEI INTERNATIONAL LIMITED,Active,Private Limited Company,45A STEVENS LANE,ESHER,,KT10 0TQ,46180 - Agents specialized in the sale of other particular products,trade,BasicCompanyDataAsOneFile-2026-08-01.csv
10938368,CROWN SURVEYORS LIMITED,Active,Private Limited Company,2ND FLOOR PARKGATES,MANCHESTER,,M25 0TL,"74909 - Other professional, scientific and technical activities n.e.c.",business_services,BasicCompanyDataAsOneFile-2026-08-01.csv
11068479,GLOBAL WARMING LIMITED,Active,Private Limited Company,THE QUADRANT CENTRE,WEYBRIDGE,SURREY,KT13 8DH,41100 - Development of building projects,construction,BasicCompanyDataAsOneFile-2026-08-01.csv
11357760,DRACO HOLDINGS LTD,Active,Private Limited Company,20-22 WENLOCK ROAD,LONDON,,N1 7GU,62020 - Information technology consultancy activities,business_services,BasicCompanyDataAsOneFile-2026-08-01.csv
11375416,BURROW & CROWE ACCOUNTANTS & BUSINESS ADVISERS LTD,Active,Private Limited Company,PEGHOLME BAYS 61-65 WHARFEBANK MILLS,OTLEY,YORKSHIRE,LS21 3JP,69201 - Accounting and auditing activities,business_services,BasicCompanyDataAsOneFile-2026-08-01.csv
11476433,ZED STARR COMMUNICATIONS LTD,Active,Private Limited Company,138 LIVERPOOL ROAD,SOUTHPORT,,PR8 4NS,71122 - Engineering related scientific and technical consulting activities,business_services,BasicCompanyDataAsOneFile-2026-08-01.csv
11517645,FRONT ROW FASHION BOUTIQUE LIMITED,Active,Private Limited Company,TRIMBLE HOUSE,WARRINGTON,,WA1 1DN,"46160 - Agents involved in the sale of textiles, clothing, fur, footwear and leather goods",trade,BasicCompanyDataAsOneFile-2026-08-01.csv
11769631,LINQ LIFE SCIENCES LTD,Active,Private Limited Company,2 SILVER STREET,ST. NEOTS,CAMBS,PE19 5TS,70229 - Management consultancy activities other than financial management,business_services,BasicCompanyDataAsOneFile-2026-08-01.csv
