company_number,company_name,experiment,query,source_classes_found,identity_lead_found,vat_candidate_found,hmrc_eligible,disposition,notes
02978755,CRS SPECIALISED BUILDING SERVICES LTD,direct_vat_search,"\"CRS SPECIALISED BUILDING SERVICES LTD\" VAT","registry;directory;gazette",false,false,false,NO_VAT_FOUND,"Only registry-style results and Gazette notices; no attributable VAT number."
02991683,A J S METALS LIMITED,direct_vat_search,"\"A J S METALS LIMITED\" VAT","directory;public_pdf",true,false,false,NO_VAT_FOUND,"Trade references and a local public-study PDF identified the business but disclosed no VAT number."
05212659,CHEDDAR SPRING WATER LIMITED,direct_vat_search,"\"CHEDDAR SPRING WATER LIMITED\" VAT","website;gazette;public_pdf",true,false,false,AMBIGUOUS_ENTITY,"Search exposed cheddarwater.com, whose footer names Cheddar Water Limited rather than the sampled legal entity."
06222261,FUNSPEX LIMITED,direct_vat_search,"\"FUNSPEX LIMITED\" VAT","client_site;directory",true,false,false,NO_VAT_FOUND,"Third-party pages tied the legal name to an address, but no VAT disclosure was found."
10286277,JANDU SOLUTIONS LIMITED,direct_vat_search,"\"JANDU SOLUTIONS LIMITED\" VAT","directory;gazette;public_pdf",false,false,false,NO_VAT_FOUND,"Directory explicitly displayed a blank VAT field; unrelated foreign public document was discarded."
11357760,DRACO HOLDINGS LTD,direct_vat_search,"\"DRACO HOLDINGS LTD\" VAT","companies_house;directory;gazette;public_pdf",false,false,false,NO_VAT_FOUND,"Registry and filing results only; latest accounts describe a dormant company."
11769631,LINQ LIFE SCIENCES LTD,direct_vat_search,"\"LINQ LIFE SCIENCES LTD\" VAT",directory,false,false,false,NO_VAT_FOUND,"Only company/person directory evidence; no VAT number."
12303228,PHILEAS FRY LTD,direct_vat_search,"\"PHILEAS FRY LTD\" VAT","directory;trademark;legal_case",true,false,false,NO_VAT_FOUND,"Trademark and litigation leads strengthen entity research but disclose no VAT number."
13171578,CIRCMAR INTERNATIONAL LIMITED,direct_vat_search,"\"CIRCMAR INTERNATIONAL LIMITED\" VAT",companies_house,false,false,false,NO_VAT_FOUND,"Companies House overview only."
13349710,ALL RAW LTD,direct_vat_search,"\"ALL RAW LTD\" VAT","website;directory;stockist;local_authority_pdf",true,false,false,NO_VAT_FOUND,"Official-looking shop domain and local-authority rating-list PDF found; neither disclosed VAT."
13996000,SXPRESS LTD,direct_vat_search,"\"SXPRESS LTD\" VAT",directory,false,false,false,NO_VAT_FOUND,"Company directory only; noisy foreign matches discarded."
14244961,OLLYFAITH VENTURES LTD,direct_vat_search,"\"OLLYFAITH VENTURES LTD\" VAT","directory;gazette;public_pdf",false,false,false,NO_VAT_FOUND,"Registry-derived address and Gazette incorporation record; no VAT number."
15351276,CHEO SPORTS LIMITED,direct_vat_search,"\"CHEO SPORTS LIMITED\" VAT",noise,false,false,false,NO_VAT_FOUND,"No relevant attributable source returned."
15440137,LETTER THOUSAND LTD,direct_vat_search,"\"LETTER THOUSAND LTD\" VAT",directory,false,false,false,NO_VAT_FOUND,"Registry-derived directory entries only; generic VAT documents discarded."
16425792,RHYS RIMMER BUILDING LTD,direct_vat_search,"\"RHYS RIMMER BUILDING LTD\" VAT","trade_marketplace;gazette;public_pdf",true,false,false,NO_VAT_FOUND,"Trade profile likely exposes the trading business, but no VAT number."
16557073,YENATALY TRADING LIMITED,direct_vat_search,"\"YENATALY TRADING LIMITED\" VAT",none,false,false,false,NO_VAT_FOUND,"No relevant attributable result."
16937998,HAIRSPRESSO LTD,direct_vat_search,"\"HAIRSPRESSO LTD\" VAT",directory,false,false,false,NO_VAT_FOUND,"Company directory result only."
17275428,SPACE FUTURES INTERNATIONAL LIMITED,direct_vat_search,"\"SPACE FUTURES INTERNATIONAL LIMITED\" VAT",none,false,false,false,NO_VAT_FOUND,"No relevant attributable result."
NI633063,PORTLEE ASSOCIATES LTD,direct_vat_search,"\"PORTLEE ASSOCIATES LTD\" VAT",none,false,false,false,NO_VAT_FOUND,"No relevant attributable result."
SC512768,AFFORDABLE TRADE FRAMES LIMITED,direct_vat_search,"\"AFFORDABLE TRADE FRAMES LIMITED\" VAT","companies_house;directory;linkedin;local_authority_pdf",true,false,false,NO_VAT_FOUND,"Business/contact and historic premises evidence found; directory VAT field was blank."
