company_number,company_name,postcode,website,discovery_method,identity_evidence_url,identity_evidence,status,checked_at
00567148,VAN REES LIMITED,WA14 2DT,,exact legal name + company number search,https://find-and-update.company-information.service.gov.uk/company/00567148,"Company record confirmed; no official domain established in initial search",UNRESOLVED,2026-08-13
02978755,CRS SPECIALISED BUILDING SERVICES LTD,PO12 1LS,,exact legal name + company number search,https://find-and-update.company-information.service.gov.uk/company/02978755,"No official domain established in initial search",UNRESOLVED,2026-08-13
02991683,A J S METALS LIMITED,WV13 2PX,,exact legal name + company number search,https://find-and-update.company-information.service.gov.uk/company/02991683,"Company record confirmed; no official domain established in initial search",UNRESOLVED,2026-08-13
04019277,KEOPS LIMITED,WR11 4SN,https://logcabins.co.uk,exact legal name + company number search,https://static1.squarespace.com/static/64db5d1999184073e460fc3d/t/65a52f307bc65d34c5f95098/1705324338433/Keops%2BAuk%2BMobile%2BHome.pdf,"PDF states Keops Interlock is a trading name of Keops Limited; company no. 04019277 and matching address",CONFIDENT,2026-08-13
04628486,G N EMERSON LTD,CA8 1EZ,,exact legal name + company number search,https://find-and-update.company-information.service.gov.uk/company/04628486,"Directory and registry records found; no first-party domain established",UNRESOLVED,2026-08-14
05104409,MARKETPLACE AMP LTD,SN2 8BW,https://marketplaceamp.com,exact legal name + company number search,https://marketplaceamp.com/privacy-policy/,"Privacy page names Marketplace AMP Ltd and its former Companies House address; acquisition explains later address/control changes",CONFIDENT,2026-08-14
05212659,CHEDDAR SPRING WATER LIMITED,BS27 3YL,https://www.cheddarwater.com,exact legal name + address search,https://www.cheddarwater.com/,"Matching activity and address but site footer names Cheddar Water Limited rather than sampled Cheddar Spring Water Limited",AMBIGUOUS_RELATED_ENTITY,2026-08-14
06072802,LAWSON SHOPFITTERS LIMITED,OL10 2PA,https://www.lawsonshopfitters.co.uk,exact legal name + locality search,https://www.construction.co.uk/c/617713/lawson-shopfitters-ltd,"Directory links domain to exact name and matching 19 Copthorne Close address; first-party confirmation still required",PROVISIONAL,2026-08-14
06079702,WARBURG ASSOCIATES LIMITED,RH4 2HP,,exact legal name + company number search,https://find-and-update.company-information.service.gov.uk/company/06079702,"No official domain established in initial search",UNRESOLVED,2026-08-14
06222261,FUNSPEX LIMITED,DA6 8DS,,exact legal name + company number search,https://find-and-update.company-information.service.gov.uk/company/06222261,"Company directories explicitly report no public website; no first-party domain established",UNRESOLVED,2026-08-14
07648585,J CARR VEHICLE COSMETICS LTD,M40 0BB,,exact legal name + company number search,https://find-and-update.company-information.service.gov.uk/company/07648585,"Registry and directory records only; no public domain established",UNRESOLVED,2026-08-14
07887751,RANNOCH ADVENTURE LIMITED,CM0 8AA,,exact legal name + company number search,https://find-and-update.company-information.service.gov.uk/company/07887751,"Registry results only; no public domain established",UNRESOLVED,2026-08-14
07903151,RUBY CERAMICS LIMITED,CW11 4NE,http://rubyceramics.co.uk,exact legal name + company number search,https://uk.globaldatabase.com/company/ruby-ceramics-limited,"Directory links exact legal entity and company number to domain; first-party confirmation required",PROVISIONAL,2026-08-14
